2026-05-20 11:18:22,063 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 11:55:16,593 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:55:46,860 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:56:17,113 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:56:47,368 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:57:17,634 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:57:47,887 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:58:18,207 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:58:48,481 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:59:18,721 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:59:49,037 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:59:49,038 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:59:49,416 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:00:19,669 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:00:49,934 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:01:20,258 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:01:50,494 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:02:20,790 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:02:51,077 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:03:21,325 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:03:51,594 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:04:21,886 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:04:52,167 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:05:22,437 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:05:52,678 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:06:22,949 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:06:53,205 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:07:23,609 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:07:53,947 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:08:24,234 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:08:54,546 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:09:24,798 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:09:55,073 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:09:55,074 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:09:55,319 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:10:55,724 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:11:25,959 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:11:56,228 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:12:26,497 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:12:56,740 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:13:27,059 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:13:57,340 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:14:27,606 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:14:57,886 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:15:28,201 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:15:58,462 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:16:28,695 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:16:59,017 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:17:29,280 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:17:59,553 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:18:29,842 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:19:00,104 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:19:30,389 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:20:00,738 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:20:00,739 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:20:00,983 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:20:00,984 - INFO - 超过 30 分钟价格无变化，退出监控
2026-05-20 12:21:03,019 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 12:21:03,293 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:21:03,294 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:21:03,568 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:21:33,805 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:22:04,065 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:22:34,337 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:23:04,616 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
